%TITLE%
STC 190425/175647 2.99,-61.32

       LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
        3.34,  46890.35,    -20.38,   -104.32,      1.30,      0.01
        2.70,  49188.28,    -14.02,   -105.19,      1.20,      0.01
        2.15,  51465.00,     -9.70,   -106.10,      1.10,      0.01
        1.69,  53788.89,     -6.69,   -107.09,      1.00,      0.01
        1.30,  56190.06,     -4.79,   -108.21,      0.90,      0.01
        0.98,  58539.09,     -5.42,   -109.48,      0.80,      0.01
        0.71,  60896.76,     -8.05,   -110.85,      0.70,      0.01
        0.51,  63190.98,    -13.42,   -112.40,      0.60,      0.01
        0.35,  65349.21,    -22.26,   -114.27,      0.50,      0.01
        0.22,  67506.37,    -33.51,   -116.34,      0.40,      0.01
        0.14,  70065.45,    -44.34,   -118.46,      0.30,      0.01
        0.08,  72982.17,    -56.14,   -120.82,      0.20,      0.01
        0.04,  77063.90,    -64.69,   -123.63,      0.10,      0.01
        0.02,  83602.94,    -65.02,   -127.12,      0.00,      0.01
%END%
