icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid,ctf_low,ctf_high,ctp_low,ctp_high,blmult
,,,190425_180343_060_j01,,,27.12,-63.67,0,green,190425_180343_060_j01,4,0,826,337,1.16
,,,190425_180343_061_j01,,,24.14,-83.96,0,green,190425_180343_061_j01,0,1,965,336,1.04
,,,190425_180343_062_j01,,,24.43,-82.68,0,green,190425_180343_062_j01,0,0,965,145,1.05
,,,190425_180343_063_j01,,,24.68,-81.61,0,green,190425_180343_063_j01,20,0,873,371,1.07
,,,190425_180343_064_j01,,,24.88,-80.68,0,green,190425_180343_064_j01,13,0,770,460,1.08
,,,190425_180343_065_j01,,,25.05,-79.87,0,green,190425_180343_065_j01,0,8,738,251,1.09
,,,190425_180343_066_j01,,,25.21,-79.14,0,green,190425_180343_066_j01,3,13,911,240,1.1
,,,190425_180343_067_j01,,,25.35,-78.47,0,green,190425_180343_067_j01,24,8,658,223,1.11
,,,190425_180343_068_j01,,,25.47,-77.85,0,green,190425_180343_068_j01,3,20,776,281,1.12
,,,190425_180343_069_j01,,,25.59,-77.28,0,green,190425_180343_069_j01,0,10,876,243,1.13
,,,190425_180343_070_j01,,,25.7,-76.73,0,green,190425_180343_070_j01,0,2,864,411,1.13
,,,190425_180343_071_j01,,,25.8,-76.21,0,green,190425_180343_071_j01,0,3,784,222,1.14
,,,190425_180343_072_j01,,,25.89,-75.71,0,green,190425_180343_072_j01,3,14,849,229,1.15
,,,190425_180343_073_j01,,,25.99,-75.22,0,green,190425_180343_073_j01,0,34,968,235,1.15
,,,190425_180343_074_j01,,,26.08,-74.74,0,green,190425_180343_074_j01,1,28,775,227,1.15
,,,190425_180343_075_j01,,,26.16,-74.27,0,green,190425_180343_075_j01,5,9,784,228,1.15
,,,190425_180343_076_j01,,,26.25,-73.79,0,green,190425_180343_076_j01,6,7,785,202,1.15
,,,190425_180343_077_j01,,,26.33,-73.32,0,green,190425_180343_077_j01,19,7,795,206,1.15
,,,190425_180343_078_j01,,,26.42,-72.83,0,green,190425_180343_078_j01,15,6,746,301,1.14
,,,190425_180343_079_j01,,,26.5,-72.34,0,yellow,190425_180343_079_j01,50,7,764,589,1.14
,,,190425_180343_080_j01,,,26.58,-71.83,0,green,190425_180343_080_j01,41,2,668,584,1.15
,,,190425_180343_081_j01,,,26.67,-71.3,0,green,190425_180343_081_j01,49,3,856,455,1.15
,,,190425_180343_082_j01,,,26.75,-70.74,0,green,190425_180343_082_j01,16,2,606,366,1.16
,,,190425_180343_083_j01,,,26.84,-70.15,0,green,190425_180343_083_j01,11,1,490,244,1.16
,,,190425_180343_084_j01,,,26.93,-69.52,0,green,190425_180343_084_j01,5,11,652,547,1.16
,,,190425_180343_085_j01,,,27.03,-68.83,0,green,190425_180343_085_j01,12,5,839,353,1.16
,,,190425_180343_086_j01,,,27.12,-68.07,0,green,190425_180343_086_j01,7,25,444,293,1.16
,,,190425_180343_087_j01,,,27.23,-67.22,0,green,190425_180343_087_j01,8,18,711,307,1.16
,,,190425_180343_088_j01,,,27.34,-66.25,0,green,190425_180343_088_j01,38,9,602,396,1.16
,,,190425_180343_089_j01,,,27.46,-65.12,0,green,190425_180343_089_j01,28,9,478,402,1.16
,,,190425_180343_090_j01,,,27.58,-63.75,0,green,190425_180343_090_j01,4,39,710,628,1.16
,,,190425_180343_091_j01,,,24.59,-84.12,0,green,190425_180343_091_j01,0,0,965,274,1.04
,,,190425_180343_092_j01,,,24.89,-82.83,0,green,190425_180343_092_j01,0,2,966,341,1.06
,,,190425_180343_093_j01,,,25.13,-81.76,0,green,190425_180343_093_j01,0,3,717,210,1.07
,,,190425_180343_094_j01,,,25.34,-80.83,0,green,190425_180343_094_j01,0,5,966,357,1.06
,,,190425_180343_095_j01,,,25.51,-80.01,0,green,190425_180343_095_j01,16,11,804,205,1.09
,,,190425_180343_096_j01,,,25.67,-79.28,0,green,190425_180343_096_j01,4,27,843,224,1.1
,,,190425_180343_097_j01,,,25.81,-78.61,0,green,190425_180343_097_j01,2,37,775,240,1.11
,,,190425_180343_098_j01,,,25.94,-77.99,0,green,190425_180343_098_j01,1,39,849,237,1.12
,,,190425_180343_099_j01,,,26.05,-77.41,1,green,190425_180343_099_j01,6,8,773,240,1.12
,,,190425_180343_100_j01,,,26.16,-76.86,0,green,190425_180343_100_j01,6,7,810,262,1.14
,,,190425_180343_101_j01,,,26.26,-76.34,0,green,190425_180343_101_j01,0,16,612,258,1.15
,,,190425_180343_102_j01,,,26.36,-75.84,0,yellow,190425_180343_102_j01,3,38,891,235,1.15
,,,190425_180343_103_j01,,,26.45,-75.35,0,green,190425_180343_103_j01,0,28,776,246,1.16
,,,190425_180343_104_j01,,,26.54,-74.87,0,green,190425_180343_104_j01,0,16,850,218,1.16
,,,190425_180343_105_j01,,,26.63,-74.39,0,green,190425_180343_105_j01,5,16,776,240,1.16
,,,190425_180343_106_j01,,,26.72,-73.91,0,green,190425_180343_106_j01,38,4,719,199,1.16
,,,190425_180343_107_j01,,,26.8,-73.44,0,green,190425_180343_107_j01,36,8,693,186,1.16
,,,190425_180343_108_j01,,,26.89,-72.95,0,green,190425_180343_108_j01,28,6,711,232,1.16
,,,190425_180343_109_j01,,,26.97,-72.46,0,green,190425_180343_109_j01,1,11,768,540,1.16
,,,190425_180343_110_j01,,,27.05,-71.94,0,green,190425_180343_110_j01,0,1,804,448,1.16
,,,190425_180343_111_j01,,,27.14,-71.41,0,green,190425_180343_111_j01,2,0,844,480,1.16
,,,190425_180343_112_j01,,,27.22,-70.85,0,green,190425_180343_112_j01,1,1,787,323,1.16
,,,190425_180343_113_j01,,,27.31,-70.26,0,green,190425_180343_113_j01,8,6,809,389,1.16
,,,190425_180343_114_j01,,,27.4,-69.62,0,green,190425_180343_114_j01,10,4,770,361,1.17
,,,190425_180343_115_j01,,,27.5,-68.93,0,green,190425_180343_115_j01,17,28,722,332,1.17
,,,190425_180343_116_j01,,,27.59,-68.17,0,green,190425_180343_116_j01,7,21,791,311,1.16
,,,190425_180343_117_j01,,,27.7,-67.31,0,green,190425_180343_117_j01,2,0,812,360,1.16
