%TITLE%
STC 190425/175647 1.47,-64.58

       LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
      947.38,      0.00,     28.82,     21.17,      9.40,      0.01
      931.52,    149.18,     23.36,     19.27,      9.30,      0.01
      904.87,    404.65,     21.81,     17.96,      9.20,      0.01
      878.62,    662.56,     20.60,     16.58,      9.10,      0.01
      852.79,    922.19,     18.96,     15.05,      9.00,      0.01
      827.37,   1184.35,     17.57,     13.38,      8.90,      0.01
      802.37,   1449.35,     16.39,     11.60,      8.80,      0.01
      777.79,   1717.68,     15.47,      9.78,      8.70,      0.01
      753.63,   1988.77,     14.51,      7.98,      8.60,      0.01
      729.89,   2261.19,     13.13,      6.17,      8.50,      0.01
      706.57,   2536.39,     11.80,      4.29,      8.40,      0.01
      683.67,   2813.89,     10.37,      2.37,      8.30,      0.01
      661.19,   3092.26,      8.59,      0.54,      8.20,      0.01
      639.14,   3371.80,      6.58,     -1.15,      8.10,      0.01
      617.51,   3655.05,      4.79,     -2.70,      8.00,      0.01
      596.31,   3944.48,      3.53,     -4.19,      7.90,      0.01
      575.52,   4237.58,      2.35,     -5.73,      7.80,      0.01
      555.17,   4532.17,      0.93,     -7.41,      7.70,      0.01
      535.23,   4828.47,     -0.65,     -9.27,      7.60,      0.01
      515.72,   5126.88,     -2.35,    -11.13,      7.50,      0.01
      496.63,   5428.00,     -4.08,    -12.86,      7.40,      0.01
      477.96,   5731.63,     -5.87,    -14.58,      7.30,      0.01
      459.71,   6039.41,     -7.56,    -16.35,      7.20,      0.01
      441.88,   6349.47,     -9.34,    -18.16,      7.10,      0.01
      424.47,   6661.97,    -11.19,    -19.99,      7.00,      0.01
      407.47,   6976.57,    -13.14,    -21.83,      6.90,      0.01
      390.89,   7293.84,    -15.13,    -23.65,      6.80,      0.01
      374.72,   7613.73,    -17.18,    -25.55,      6.70,      0.01
      358.97,   7935.73,    -19.31,    -27.57,      6.60,      0.01
      343.62,   8259.06,    -21.58,    -29.52,      6.50,      0.01
      328.68,   8584.13,    -23.95,    -31.40,      6.40,      0.01
      314.14,   8910.67,    -26.42,    -33.72,      6.30,      0.01
      300.00,   9238.56,    -29.01,    -36.50,      6.20,      0.01
      286.26,   9567.36,    -31.72,    -39.33,      6.10,      0.01
      272.92,   9897.03,    -34.55,    -42.28,      6.00,      0.01
      259.97,  10230.30,    -37.36,    -45.35,      5.90,      0.01
      247.41,  10566.49,    -40.18,    -48.41,      5.80,      0.01
      235.23,  10904.32,    -43.08,    -51.49,      5.70,      0.01
      223.44,  11247.01,    -45.91,    -54.62,      5.60,      0.01
      212.03,  11592.90,    -48.75,    -57.75,      5.50,      0.01
      200.99,  11940.58,    -51.68,    -60.85,      5.40,      0.01
      190.32,  12289.78,    -54.69,    -63.97,      5.30,      0.01
      180.02,  12640.30,    -57.80,    -67.06,      5.20,      0.01
      170.08,  12993.82,    -60.94,    -70.07,      5.10,      0.01
      160.50,  13353.02,    -64.00,    -72.91,      5.00,      0.01
      151.27,  13717.00,    -67.04,    -75.59,      4.90,      0.01
      142.38,  14087.29,    -70.00,    -78.11,      4.80,      0.01
      133.85,  14468.13,    -72.75,    -80.44,      4.70,      0.01
      125.65,  14862.30,    -75.23,    -82.56,      4.60,      0.01
      117.78,  15269.57,    -77.48,    -84.56,      4.50,      0.01
      110.24,  15690.23,    -79.51,    -86.59,      4.40,      0.01
      103.02,  16133.59,    -81.07,    -88.15,      4.30,      0.01
       96.11,  16609.38,    -81.92,    -88.77,      4.20,      0.01
       89.52,  17115.95,    -82.19,    -88.99,      4.10,      0.01
       83.23,  17674.52,    -81.35,    -89.21,      4.00,      0.01
       77.24,  18280.64,    -79.62,    -89.43,      3.90,      0.01
       71.54,  18925.16,    -77.36,    -89.62,      3.80,      0.01
       66.13,  19609.56,    -74.59,    -89.76,      3.70,      0.01
       60.99,  20314.62,    -71.86,    -89.88,      3.60,      0.01
       56.13,  21030.22,    -69.44,    -90.01,      3.50,      0.01
       51.53,  21765.45,    -67.11,    -90.13,      3.40,      0.01
       47.19,  22504.83,    -65.25,    -90.37,      3.30,      0.01
       43.10,  23260.79,    -63.57,    -90.73,      3.20,      0.01
