%TITLE%
STC 190425/175647 3.32,-62.28

       LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
      985.06,      0.00,     32.77,     22.03,      9.50,      0.01
      958.59,    244.07,     27.62,     20.30,      9.40,      0.01
      931.52,    499.67,     26.42,     19.19,      9.30,      0.01
      904.87,    756.90,     24.60,     18.13,      9.20,      0.01
      878.62,   1016.09,     22.81,     17.03,      9.10,      0.01
      852.79,   1276.51,     20.69,     15.85,      9.00,      0.01
      827.37,   1539.22,     18.81,     14.52,      8.90,      0.01
      802.37,   1805.23,     17.39,     13.00,      8.80,      0.01
      777.79,   2073.69,     16.00,     11.36,      8.70,      0.01
      753.63,   2345.80,     14.90,      9.68,      8.60,      0.01
      729.89,   2618.75,     13.35,      7.97,      8.50,      0.01
      706.57,   2897.94,     12.58,      6.16,      8.40,      0.01
      683.67,   3177.55,     11.28,      4.31,      8.30,      0.01
      661.19,   3459.64,      9.90,      2.55,      8.20,      0.01
      639.14,   3744.54,      8.51,      0.89,      8.10,      0.01
      617.51,   4029.77,      6.72,     -0.59,      8.00,      0.01
      596.31,   4317.42,      4.90,     -1.93,      7.90,      0.01
      575.52,   4609.31,      3.29,     -3.38,      7.80,      0.01
      555.17,   4903.53,      1.62,     -5.03,      7.70,      0.01
      535.23,   5199.19,     -0.21,     -6.88,      7.60,      0.01
      515.72,   5496.56,     -2.15,     -8.87,      7.50,      0.01
      496.63,   5796.15,     -4.15,    -10.91,      7.40,      0.01
      477.96,   6097.82,     -6.22,    -13.00,      7.30,      0.01
      459.71,   6404.39,     -8.10,    -15.16,      7.20,      0.01
      441.88,   6713.46,    -10.03,    -17.34,      7.10,      0.01
      424.47,   7025.05,    -12.02,    -19.50,      7.00,      0.01
      407.47,   7339.49,    -14.03,    -21.84,      6.90,      0.01
      390.89,   7656.28,    -16.10,    -24.39,      6.80,      0.01
      374.72,   7975.65,    -18.22,    -26.97,      6.70,      0.01
      358.97,   8297.54,    -20.40,    -29.61,      6.60,      0.01
      343.62,   8621.85,    -22.64,    -32.14,      6.50,      0.01
      328.68,   8949.05,    -24.91,    -34.52,      6.40,      0.01
      314.14,   9278.44,    -27.25,    -36.93,      6.30,      0.01
      300.00,   9611.22,    -29.60,    -39.32,      6.20,      0.01
      286.26,   9946.41,    -32.01,    -41.71,      6.10,      0.01
      272.92,  10283.59,    -34.50,    -44.24,      6.00,      0.01
      259.97,  10623.83,    -37.02,    -46.91,      5.90,      0.01
      247.41,  10967.57,    -39.54,    -49.57,      5.80,      0.01
      235.23,  11313.77,    -42.13,    -52.30,      5.70,      0.01
      223.44,  11664.18,    -44.70,    -55.15,      5.60,      0.01
      212.03,  12016.05,    -47.39,    -58.09,      5.50,      0.01
      200.99,  12368.05,    -50.23,    -61.11,      5.40,      0.01
      190.32,  12720.04,    -53.24,    -64.19,      5.30,      0.01
      180.02,  13068.56,    -56.54,    -67.27,      5.20,      0.01
      170.08,  13418.39,    -59.92,    -70.26,      5.10,      0.01
      160.50,  13771.38,    -63.31,    -73.14,      5.00,      0.01
      151.27,  14129.35,    -66.65,    -75.91,      4.90,      0.01
